Year,Area Found ,Plant Species,APTI
2010,Orissa, Annona squamosa,15.89
2010,Orissa, Psidium guyava ,17.44
2010,Orissa,"Ceasal pinia",26.69
2010,Orissa," Tamarindus indica",16.78
2010,Orissa,Bogainvillea spectabilis,13.14
2010,Orissa,"Pithocolobium dulce",27.22
2010,Orissa,Anacardium occidentale,14.43
2010,Orissa,"Ailanthus excelsa ",22.17
2010,Orissa, Holarrhena,25.34
2010,Orissa,"Pubescens",17.42
2011,Uttar Pradesh,Mangifera indica,18.51
2011,Uttar Pradesh,Aegle marmelos ,14.49
2011,Uttar Pradesh,Rosa indica,12.79
2011,Uttar Pradesh," Azadirachta indica",12.29
2011,Uttar Pradesh, Citrus lemon,12.27
2011,Uttar Pradesh,Eucalyptus sp.,11.54
2011,Uttar Pradesh, Artocarpus sp.,8.75
2013,Udaipur,Annona squamosa ,5.007624
2011,Udaipur,Ficus racemosa,3.898751
2011,Udaipur, Santalum album L,6.643192
2015,Maharashtra,"Polyalthia longifolia",22.78
2015,Maharashtra,Nerium indicum,22.08
2015,Maharashtra,"Tabernamontana divariata",22.62
2015,Maharashtra,Cassia saimia,14.02
2015,Maharashtra,Plumeria rubra,22.51
2015,Maharashtra, Leucaena leucocephala,21.44
2015,Maharashtra,"Azadirachta indica",18.72
2015,Maharashtra, Zizipus zizuba,20.77
2015,Maharashtra, Ficus religeosa,21.63
2015,Maharashtra," Annona squamosa",22.43
2015,Maharashtra, Boughanvellia spectabilis,22.91
2015,Maharashtra,"Alstonia scholaris",31.29
2015,Tamil Nadu,Azadirachta indica,5.58
2015,Tamil Nadu, Tectona grandis,7.26
2015,Tamil Nadu,Tamarindus indica,3.18
2015,Tamil Nadu,"Casuarina equisetifolia",5.78
2015,Tamil Nadu,Ficus religiosa,7.27
2015,Tamil Nadu,Ficus benghalensis,6.13
2015,Tamil Nadu,"Morinda pubescens",5.6
2015,Tamil Nadu,Annona squamosa,4.16
2015,Tamil Nadu, Wrightia tinctoria,4.27
2015,Tamil Nadu, Millettia pinnata,7.3
2015,Tamil Nadu,"Mangifera indica",6.99
2015,Tamil Nadu, Syzygium cumini,6.77
2015,Tamil Nadu, Ailanthus excels,6.67
2015,Tamil Nadu,"Melia composite",4.71
2015,Tamil Nadu,"Polyalthia longifolia","5"
2016,Delhi,Magnifera indica,28.1
2016,Delhi, Syzygium cumini,10.7
2016,Delhi,Saraca asoca,8.4
2016,Delhi,"Ailanthus altissima",9.9
2016,Delhi, Bombax ceiba,8.9
2016,Delhi, Ficus religiosa,21.7
2016,Delhi, Dalbergia sissoo,10.8
2016,Delhi,"Azadirachta indica",17.9
2016,Delhi, Ficus virens,8.8
2016,Delhi,"Ficus benghalensis",19.9
2016,Delhi,"Neolamarckia cadamba",15.5
2016,Delhi, Thevetia peruviana,5.9
2016,Delhi, Alstonia scholaris,6.6
2016,Delhi,"Bauhivia variegate",10.6
2016,Delhi, Eucalyptus globules,12.4
2016,Delhi, Bougainvillea glabra,13
2016,Delhi,"Butea monosperma",13.4
2016,Delhi, Terminalia arjuna,10.1
2016,Delhi, Melia Azedarach,13
2016,Delhi,"Lagerstroemia indica",9
2016,Delhi,"Delonix regia",12.6
2016,West Bengal,Alternanthera sessilis,"35.35"
2016,West Bengal, Antigonon leptopus Hook & Arn.,61.2
2016,West Bengal,"Boerhavia repens L. ",45.86
2016,West Bengal, Desmodium gangeticum (L.) DC.,51.45
2016,West Bengal,"Elephantopus scaber L.",41.74
2016,West Bengal,Globba bulbifera Roxb.,46.92
2016,West Bengal,"Oplismenus compositus (L.)",44.95
2016,West Bengal, Ruellia tuberosa L.,56.31
2016,West Bengal,"Tridax procumbens (L.) L.",44.53
2017,Uttar Pradesh,Ficus Religiosa,10
2017,Uttar Pradesh, Delonix Regia,11
2017,Uttar Pradesh, PolyalthiaLongifolia,6
2017,Uttar Pradesh," Plumeria sp.",11
2017,Uttar Pradesh,Azadirachta Indica,9
