date,state,pm2_5,pm10,o3,no2,so2,co
9/9/2019,gujrat,105,57,18,31,25,12
9/10/2019,gujrat,122,121,14,21,36,7
9/11/2019,gujrat,146, ,18,18,26,14
9/13/2019,gujrat,146, ,9,31,32,18
9/14/2019,gujrat,128,108,17,20,32,17
9/15/2019,gujrat,134,76,21,24,31,13
9/16/2019,gujrat,101,74,29,92,30,9
9/17/2019,gujrat,117,86,25,43,16,6
9/18/2019,gujrat,127,90,19,60,33,5
9/19/2019,gujrat,146,48,28,28,36,34
9/20/2019,gujrat,80,57,30,58,40,46
9/21/2019,gujrat,107,65,39,59,45,39
9/22/2019,gujrat,123,77,34,52,48,42
9/23/2019,gujrat,141,67,42,56,47,35
9/24/2019,gujrat,133,74,48,53,39,43
9/25/2019,gujrat,142,49,27,44,44,33
9/26/2019,gujrat,105,36,20,37,41,38
9/27/2019,gujrat,84,43,19,46,41,25
9/28/2019,gujrat,90,40,19,36,50,34
9/29/2019,gujrat,68,32,24,29,47,28
9/30/2019,gujrat,70,44,44,43,56,24
4/1/2019,gujrat,172, ,23,45,8,4
4/2/2019,gujrat,188, ,23,42,6,4
4/3/2019,gujrat,180, ,19,39,5,4
4/4/2019,gujrat,168, ,15,34,6,4
4/5/2019,gujrat,172, ,16,33,6,5
4/6/2019,gujrat,175, ,12,25,8,4
4/7/2019,gujrat,173, ,13,32,5,4
4/8/2019,gujrat,158, ,14,29,5,4
4/9/2019,gujrat,153, ,11,18,3,5
4/10/2019,gujrat,145, ,13,20,3,4
4/11/2019,gujrat,158, ,15,31,4,5
4/12/2019,gujrat,157, ,24,31,2,5
4/13/2019,gujrat,155, ,36,26,3,7
4/14/2019,gujrat,149, ,28,28,15,5
4/15/2019,gujrat,282, ,28,27,24,8
4/16/2019,gujrat,244, ,44,27,39,13
4/17/2019,gujrat,179, ,49,33,17,6
4/18/2019,gujrat,173, ,49,44,28,7
4/19/2019,gujrat,142, ,68,58,42,8
4/20/2019,gujrat,160, ,46,36,25,7
4/21/2019,gujrat,140, ,53,43,34,6
4/22/2019,gujrat,170, ,47,38,34,8
4/23/2019,gujrat,162, ,20,19,25,8
4/24/2019,gujrat,155, , , , , 
4/28/2019,gujrat,168, ,36,22,23,7
4/29/2019,gujrat,179, ,40,30,21,9
4/30/2019,gujrat,202, ,40,32,33,8
5/1/2019,gujrat,181, ,50,34,45,7
5/2/2019,gujrat,175, ,16,28,40,8
5/3/2019,gujrat,165, ,1,24,32,8
5/4/2019,gujrat,158, ,1,26,52,7
5/5/2019,gujrat,162, ,1,33,40,7
5/6/2019,gujrat,155, ,1,32,28,6
5/7/2019,gujrat,140, ,1,26,40,7
5/8/2019,gujrat,153, ,1,20,21,5
5/9/2019,gujrat,125, , , , ,2
5/10/2019,gujrat,93, , , , , 
5/14/2019,gujrat,126,84,33,39,58,8
5/15/2019,gujrat,105,81,34,37,40,7
5/16/2019,gujrat,97,88,25,36,40,7
5/17/2019,gujrat,100,96,28,34,38,9
5/18/2019,gujrat,96,78,28,32,36,14
5/19/2019,gujrat,94,82,35,37,39,13
5/20/2019,gujrat,102,74,31,37,38,12
